Filename,Time Start,Time End,Latitude,Longitude,Region
101512_20210803T080024UTC_Data,03-Aug-2021 08:21:32,03-Aug-2021 08:24:22,56.45,-5.44,Oban/Mull
101512_20210803T115712UTC_Data,03-Aug-2021 11:57:15,03-Aug-2021 12:19:29,56.45,-5.44,Oban/Mull
101512_20210803T122249UTC_Data,03-Aug-2021 12:22:51,03-Aug-2021 12:30:51,56.45,-5.44,Oban/Mull
101512_20210803T123800UTC_Data,03-Aug-2021 12:38:03,03-Aug-2021 12:57:30,56.45,-5.44,Oban/Mull
101512_20210803T134245UTC_Data,03-Aug-2021 13:42:49,03-Aug-2021 13:47:07,56.45,-5.44,Oban/Mull
101512_20210803T134759UTC_Data,03-Aug-2021 13:48:02,03-Aug-2021 13:51:37,56.45,-5.44,Oban/Mull
101512_20210803T135245UTC_Data,03-Aug-2021 13:52:48,03-Aug-2021 13:55:37,56.45,-5.44,Oban/Mull
101512_20210803T140532UTC_Data,03-Aug-2021 14:05:34,03-Aug-2021 14:18:03,56.45,-5.44,Oban/Mull
101512_20210803T141910UTC_Data,03-Aug-2021 14:19:13,03-Aug-2021 14:44:25,56.45,-5.44,Oban/Mull
101512_20210803T150612UTC_Data,03-Aug-2021 15:06:14,03-Aug-2021 15:52:43,56.45,-5.44,Oban/Mull
101512_20210804T070330UTC_Data,04-Aug-2021 07:03:32,04-Aug-2021 07:05:37,56.45,-5.44,Oban/Mull
101512_20210804T070703UTC_Data,04-Aug-2021 07:07:06,04-Aug-2021 13:07:00,56.38,-5.63,Oban/Mull
101512_20210804T130703UTC_Data,04-Aug-2021 13:07:03,04-Aug-2021 19:07:00,56.25,-5.94,Oban/Mull
101512_20210804T190703UTC_Data,04-Aug-2021 19:07:03,05-Aug-2021 01:07:01,56.21,-6.06,Oban/Mull
101512_20210805T010703UTC_Data,05-Aug-2021 01:07:03,05-Aug-2021 07:07:01,56.18,-6.22,Oban/Mull
101512_20210808T054706UTC_Data,08-Aug-2021 05:47:08,08-Aug-2021 11:47:03,56.3,-7.91,Oban/Mull
101512_20210808T114706UTC_Data,08-Aug-2021 11:47:06,08-Aug-2021 15:02:30,56.3,-7.92,Oban/Mull
101512_20210815T103205UTC_Data,15-Aug-2021 10:32:08,15-Aug-2021 11:00:45,56.3,-8.45,Oban/Mull
101512_20210815T110326UTC_Data,15-Aug-2021 11:03:29,15-Aug-2021 11:05:25,56.3,-8.45,Oban/Mull
101512_20210815T110849UTC_Data,15-Aug-2021 11:08:51,15-Aug-2021 11:47:32,56.3,-8.46,Oban/Mull
101512_20210826T122815UTC_Data,26-Aug-2021 12:28:17,26-Aug-2021 13:49:25,57.19,-9.25,Rockall
101512_20210826T135107UTC_Data,26-Aug-2021 13:51:09,26-Aug-2021 19:51:04,57.15,-9.38,Rockall
101512_20210826T195107UTC_Data,26-Aug-2021 19:51:07,27-Aug-2021 01:51:04,57.11,-9.51,Rockall
101512_20210827T015107UTC_Data,27-Aug-2021 01:51:07,27-Aug-2021 07:51:04,57.08,-9.62,Rockall
101512_20210827T075107UTC_Data,27-Aug-2021 07:51:07,27-Aug-2021 09:17:30,57.07,-9.67,Rockall
101512_20211006T181158UTC_Data,06-Oct-2021 18:12:00,07-Oct-2021 00:11:55,53.34,-14.33,Celtic Sea
101512_20211007T001158UTC_Data,07-Oct-2021 00:11:58,07-Oct-2021 06:11:55,53.3,-14.54,Celtic Sea
101512_20211007T061158UTC_Data,07-Oct-2021 06:11:58,07-Oct-2021 12:11:55,53.28,-14.7,Celtic Sea
101512_20211007T121158UTC_Data,07-Oct-2021 12:11:58,07-Oct-2021 18:11:55,53.26,-14.87,Celtic Sea
101512_20211007T181158UTC_Data,07-Oct-2021 18:11:58,07-Oct-2021 19:00:05,53.24,-14.98,Celtic Sea
101512_20211007T190648UTC_Data,07-Oct-2021 19:06:51,08-Oct-2021 01:06:45,53.23,-15.1,Celtic Sea
101512_20211008T010648UTC_Data,08-Oct-2021 01:06:48,08-Oct-2021 07:06:45,53.2,-15.29,Celtic Sea
101512_20211008T070648UTC_Data,08-Oct-2021 07:06:48,08-Oct-2021 13:06:46,53.18,-15.5,Celtic Sea
101512_20211008T130648UTC_Data,08-Oct-2021 13:06:48,08-Oct-2021 19:06:46,53.16,-15.67,Celtic Sea
101512_20211008T190648UTC_Data,08-Oct-2021 19:06:48,08-Oct-2021 21:00:19,53.14,-15.77,Celtic Sea
101512_20211013T234259UTC_Data,13-Oct-2021 23:43:01,14-Oct-2021 00:01:52,52.41,-14.92,Oban/Mull
101512_20211014T000326UTC_Data,14-Oct-2021 00:03:28,14-Oct-2021 02:19:30,52.41,-14.97,Oban/Mull
